isac_x,isac_y
19.463653564453125,131.00486946105957
38.06972885131836,112.59766578674316
54.71043014526367,95.0674991607666
67.63014221191406,78.7820930480957
75.36856317520142,64.14421653747559
78.06266689300537,51.50923728942871
77.0073082447052,41.1081657409668
73.527827501297,32.90997314453125
68.56629395484924,26.630266189575195
62.62700343132019,22.143400192260742
56.3073365688324,19.499563455581665
49.81923031806946,18.55166006088257
43.216304063797,19.062567234039307
36.53824830055237,20.813491821289062
29.814339876174927,23.61260461807251
23.066149950027466,27.29640769958496
16.30942463874817,31.72762680053711
10.058842897415161,36.51346731185913
4.478534460067749,41.45745325088501
0.0,46.446204662323
0.0,50.93525218963623
0.0,54.70504093170166
0.0,58.30722141265869
0.0,61.81889581680298
0.0,65.25284814834595
0.0,68.6020736694336
0.0,71.39317560195923
0.0,74.55406951904297
0.5248761177062988,77.77433919906616
1.822829246520996,80.86932468414307
3.8404107093811035,83.95630168914795
6.682848930358887,87.22954559326172
10.277020931243896,90.62641191482544
14.521496295928955,94.12926244735718
19.329469203948975,97.7230052947998
24.470582008361816,101.614821434021
29.80828285217285,105.90306568145752
35.32472372055054,110.53438711166382
41.15927457809448,115.42019891738892
47.40527391433716,120.4904465675354
54.00692939758301,125.72172689437866
60.91691255569458,131.09372663497925
68.02573919296265,136.47823858261108
75.26716470718384,141.80887746810913
82.61683940887451,147.13261651992798
90.04576683044434,152.51611280441284
97.53478527069092,157.95187997817993
105.21933078765869,163.5577564239502
113.14162254333496,169.35959386825562
121.35687065124512,175.3947048187256
